Paper,Deposit,Au (ppm),As (ppm)
Chen et al. (2024),Jiuqu gold deposit,0.13,395
Chen et al. (2024),Jiuqu gold deposit,0.049,3.31
Chen et al. (2024),Jiuqu gold deposit,0,4.62
Chen et al. (2024),Jiuqu gold deposit,0.47,92
Chen et al. (2024),Jiuqu gold deposit,0.86,3.07
Chen et al. (2024),Jiuqu gold deposit,0.047,6.08
Chen et al. (2024),Jiuqu gold deposit,0,124
Chen et al. (2024),Jiuqu gold deposit,0,0.58
Chen et al. (2024),Jiuqu gold deposit,0.03,1111
Chen et al. (2024),Jiuqu gold deposit,0.053,270
Chen et al. (2024),Jiuqu gold deposit,0.86,267
Chen et al. (2024),Jiuqu gold deposit,0.37,130
Chen et al. (2024),Jiuqu gold deposit,0.34,190
Chen et al. (2024),Jiuqu gold deposit,0.18,174
Chen et al. (2024),Jiuqu gold deposit,0.32,166
Chen et al. (2024),Jiuqu gold deposit,0.014,104
Chen et al. (2024),Jiuqu gold deposit,0,120
Chen et al. (2024),Jiuqu gold deposit,0.12,359
Chen et al. (2024),Jiuqu gold deposit,0.011,217
Chen et al. (2024),Jiuqu gold deposit,0.011,106
Chen et al. (2024),Jiuqu gold deposit,0.862,1111 
Chen et al. (2024),Jiuqu gold deposit,0.011,0.58
Chen et al. (2024),Jiuqu gold deposit,0.294,246 
Chen et al. (2024),Canzhuang gold deposit,0,36.7
Chen et al. (2024),Canzhuang gold deposit,0.014,53.3
Chen et al. (2024),Canzhuang gold deposit,0.08,64.5
Chen et al. (2024),Canzhuang gold deposit,0.035,32.5
Chen et al. (2024),Canzhuang gold deposit,0.094,42.8
Chen et al. (2024),Canzhuang gold deposit,0.013,13.6
Chen et al. (2024),Canzhuang gold deposit,0.0096,14
Chen et al. (2024),Canzhuang gold deposit,0.032,17.4
Chen et al. (2024),Canzhuang gold deposit,0.0054,31.2
Chen et al. (2024),Canzhuang gold deposit,0.057,22
Chen et al. (2024),Canzhuang gold deposit,0,33.9
Chen et al. (2024),Canzhuang gold deposit,0,40.2
Chen et al. (2024),Canzhuang gold deposit,0,19.8
Chen et al. (2024),Canzhuang gold deposit,0.011,26
Chen et al. (2024),Canzhuang gold deposit,0.0943,64.5
Chen et al. (2024),Canzhuang gold deposit,0.0054,13.6
Chen et al. (2024),Canzhuang gold deposit,0.0402,33.8
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.01,394
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.035,164
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.0006,5.48
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.038,526
Chen et al. (2024),Sanshandao Norther sea gold deposit,0,273
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.056,756
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.15,1317
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.54,728
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.15,15.2
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.033,407
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.039,42.2
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.3,12.8
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.0014,103
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.0054,10.8
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.0011,0.023
Chen et al. (2024),Sanshandao Norther sea gold deposit,0,1.66
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.542,1317 
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.0006,0.02
Chen et al. (2024),Sanshandao Norther sea gold deposit,0.1355,357 
Large et al. (2007),Sukhoi Log deposit,2.3,16127.4
Large et al. (2007),Sukhoi Log deposit,0.24,11918.59
Large et al. (2007),Sukhoi Log deposit,0.09,3046.54
Large et al. (2007),Sukhoi Log deposit,0.13,4413.86
Large et al. (2007),Sukhoi Log deposit,0.19,4367.02
Large et al. (2007),Sukhoi Log deposit,0.85,7379.55
Large et al. (2007),Sukhoi Log deposit,0.03,411.81
Large et al. (2007),Sukhoi Log deposit,0.32,10346.93
Large et al. (2007),Sukhoi Log deposit,0.84,7776.05
Large et al. (2007),Sukhoi Log deposit,0.12,4560.35
Large et al. (2007),Sukhoi Log deposit,0.58,11488.98
Large et al. (2007),Sukhoi Log deposit,0.03,2217.35
Large et al. (2007),Sukhoi Log deposit,77.15,2095.45
Large et al. (2007),Sukhoi Log deposit,231.1,2080.27
Large et al. (2007),Sukhoi Log deposit,0.83,321.97
Large et al. (2007),Sukhoi Log deposit,0.05,544.74
Large et al. (2007),Sukhoi Log deposit,289.03,1777.2
Large et al. (2007),Sukhoi Log deposit,348.64,1771.73
Large et al. (2007),Sukhoi Log deposit,223.02,1690.16
Large et al. (2007),Sukhoi Log deposit,5.66,1528.69
Large et al. (2007),Sukhoi Log deposit,0.05,515.83
Wu et al. (2025),Jinshan gold deposit,32.3 ,31590 
Wu et al. (2025),Jinshan gold deposit,12785 ,7310 
Wu et al. (2025),Jinshan gold deposit,331 ,53560 
Wu et al. (2025),Jinshan gold deposit,64.8 ,21111 
Wu et al. (2025),Jinshan gold deposit,49.6 ,17025 
Wu et al. (2025),Jinshan gold deposit,53.9 ,46785 
Wu et al. (2025),Jinshan gold deposit,157 ,54873 
Wu et al. (2025),Jinshan gold deposit,41.7 ,42589 
Wu et al. (2025),Jinshan gold deposit,193 ,53526 
Wu et al. (2025),Jinshan gold deposit,112 ,38446 
Wu et al. (2025),Jinshan gold deposit,52.1 ,30717 
Wu et al. (2025),Jinshan gold deposit,106 ,45395 
Wu et al. (2025),Jinshan gold deposit,207 ,58184 
Wu et al. (2025),Jinshan gold deposit,64.7 ,74120 
Wu et al. (2025),Jinshan gold deposit,144 ,44519 
Wu et al. (2025),Jinshan gold deposit,0 ,2162 
Wu et al. (2025),Jinshan gold deposit,61.0 ,30787 
Wu et al. (2025),Jinshan gold deposit,157 ,48711 
Wu et al. (2025),Jinshan gold deposit,208 ,46006 
Wu et al. (2025),Jinshan gold deposit,255 ,49041 
Wu et al. (2025),Jinshan gold deposit,148 ,37685 
Wu et al. (2025),Jinshan gold deposit,184 ,46642 
Wu et al. (2025),Jinshan gold deposit,0.49 ,59.5 
Wu et al. (2025),Jinshan gold deposit,6.03 ,4811 
Wu et al. (2025),Jinshan gold deposit,11.1 ,7071 
Wu et al. (2025),Jinshan gold deposit,0.00 ,175 
Wu et al. (2025),Jinshan gold deposit,1.25 ,582 
Wu et al. (2025),Jinshan gold deposit,28.0 ,15870 
Wu et al. (2025),Jinshan gold deposit,5.41 ,3337 
Wu et al. (2025),Jinshan gold deposit,0.73 ,57.8 
Wu et al. (2025),Jinshan gold deposit,0.32 ,21.1 
Wu et al. (2025),Jinshan gold deposit,2.43 ,224 
Wu et al. (2025),Jinshan gold deposit,0.00 ,961 
Wu et al. (2025),Jinshan gold deposit,1.40 ,324 
Wu et al. (2025),Jinshan gold deposit,2.09 ,137 
Wu et al. (2025),Jinshan gold deposit,1.06 ,112 
Wu et al. (2025),Jinshan gold deposit,0.36 ,24.0 
Wu et al. (2025),Jinshan gold deposit,1.33 ,93.4 
Wu et al. (2025),Jinshan gold deposit,4.37 ,413 
Wu et al. (2025),Jinshan gold deposit,561 ,351 
Wu et al. (2025),Jinshan gold deposit,4.07 ,784 
Wu et al. (2025),Jinshan gold deposit,9.41 ,3008 
Wu et al. (2025),Jinshan gold deposit,8.11 ,2023 
Wu et al. (2025),Jinshan gold deposit,0.33 ,6.21 
Wu et al. (2025),Jinshan gold deposit,0.44 ,577 
Wu et al. (2025),Jinshan gold deposit,17.7 ,9346 
Wu et al. (2025),Jinshan gold deposit,0.42 ,4361 
Wu et al. (2025),Jinshan gold deposit,0.00 ,2705 
Wu et al. (2025),Jinshan gold deposit,57.1 ,35289 
Wu et al. (2025),Jinshan gold deposit,0.05 ,2005 
